id, palette, k, r, g, b, hue, sat, lum
0x000ae33c79, Normal, 10, 227, 60, 121, 338.08383233532936, 0.748878923766816, 0.5627450980392157
0x000ae3a508, Normal, 10, 227, 165, 8, 43.01369863013699, 0.9319148936170213, 0.46078431372549017
0x000ae59533, Normal, 10, 229, 149, 51, 33.03370786516854, 0.773913043478261, 0.5490196078431373
0x000af19c86, Normal, 10, 241, 156, 134, 12.336448598130845, 0.7925925925925926, 0.7352941176470589
0x000af317c3, Normal, 10, 243, 23, 195, 313.09090909090907, 0.9016393442622949, 0.5215686274509803
0x000af849cb, Normal, 10, 248, 73, 203, 315.42857142857144, 0.9259259259259259, 0.6294117647058823
0x000af910de, Normal, 10, 249, 16, 222, 306.9527896995708, 0.9510204081632652, 0.5196078431372548
0x000afad0ce, Normal, 10, 250, 208, 206, 2.7272727272727186, 0.814814814814814, 0.8941176470588235
0x000afd9d6e, Normal, 10, 253, 157, 110, 19.720279720279724, 0.9727891156462586, 0.711764705882353
0x000afeb183, Normal, 10, 254, 177, 131, 22.4390243902439, 0.9840000000000001, 0.7549019607843137
0x000aff6824, Normal, 10, 255, 104, 36, 18.63013698630137, 1, 0.5705882352941176
0x000aff7025, Normal, 10, 255, 112, 37, 20.64220183486238, 0.9999999999999999, 0.5725490196078431
0x000b033975, Normal, 11, 3, 57, 117, 211.57894736842104, 0.95, 0.23529411764705882
0x000b034fb0, Normal, 11, 3, 79, 176, 213.64161849710982, 0.9664804469273744, 0.3509803921568627
0x000b044d45, Normal, 11, 4, 77, 69, 173.42465753424656, 0.9012345679012346, 0.1588235294117647
0x000b0ca5e3, Normal, 11, 12, 165, 227, 197.30232558139534, 0.8995815899581588, 0.46862745098039216
0x000b11a87b, Normal, 11, 17, 168, 123, 162.11920529801324, 0.8162162162162162, 0.3627450980392157
0x000b1258c5, Normal, 11, 18, 88, 197, 216.53631284916202, 0.8325581395348838, 0.4215686274509804
0x000b13805d, Normal, 11, 19, 128, 93, 160.73394495412845, 0.7414965986394558, 0.28823529411764703
0x000b142de0, Normal, 11, 20, 45, 224, 232.64705882352942, 0.836065573770492, 0.4784313725490196
0x000b1721b4, Normal, 11, 23, 33, 180, 236.17834394904457, 0.7733990147783251, 0.39803921568627454
0x000b20374a, Normal, 11, 32, 55, 74, 207.14285714285717, 0.3962264150943396, 0.20784313725490197
0x000b2190e8, Normal, 11, 33, 144, 232, 206.53266331658293, 0.8122448979591838, 0.5196078431372549
0x000b27379f, Normal, 11, 39, 55, 159, 232, 0.6060606060606061, 0.38823529411764707
0x000b289f17, Normal, 11, 40, 159, 23, 112.5, 0.7472527472527473, 0.3568627450980392
0x000b299c85, Normal, 11, 41, 156, 133, 168, 0.5837563451776651, 0.3862745098039216
0x000b2bef2c, Normal, 11, 43, 239, 44, 120.30612244897961, 0.8596491228070176, 0.5529411764705883
0x000b2da697, Normal, 11, 45, 166, 151, 172.5619834710744, 0.5734597156398104, 0.41372549019607846
0x000b2ddbe7, Normal, 11, 45, 219, 231, 183.8709677419355, 0.7948717948717948, 0.5411764705882353
0x000b315aed, Normal, 11, 49, 90, 237, 226.91489361702128, 0.8392857142857143, 0.5607843137254902
0x000b31c7c4, Normal, 11, 49, 199, 196, 178.8, 0.6048387096774194, 0.48627450980392156
0x000b34e541, Normal, 11, 52, 229, 65, 124.40677966101696, 0.7729257641921398, 0.5509803921568628
0x000b3ddaae, Normal, 11, 61, 218, 174, 163.18471337579618, 0.6796536796536795, 0.5470588235294117
0x000b41df08, Normal, 11, 65, 223, 8, 104.09302325581396, 0.9307359307359307, 0.45294117647058824
0x000b41e73e, Normal, 11, 65, 231, 62, 118.93491124260356, 0.7788018433179722, 0.5745098039215686
0x000b448900, Normal, 11, 68, 137, 0, 90.21897810218978, 1, 0.26862745098039215
0x000b45c556, Normal, 11, 69, 197, 86, 127.96875, 0.5245901639344263, 0.5215686274509804
0x000b460b5d, Normal, 11, 70, 11, 93, 283.1707317073171, 0.7884615384615384, 0.20392156862745098
0x000b471c4a, Normal, 11, 71, 28, 74, 296.0869565217391, 0.4509803921568628, 0.2
0x000b478fd9, Normal, 11, 71, 143, 217, 210.41095890410958, 0.6576576576576576, 0.5647058823529412
0x000b481ca4, Normal, 11, 72, 28, 164, 259.4117647058823, 0.7083333333333335, 0.3764705882352941
0x000b4bb14e, Normal, 11, 75, 177, 78, 121.76470588235293, 0.4047619047619047, 0.49411764705882355
0x000b4e7254, Normal, 11, 78, 114, 84, 130, 0.1875, 0.3764705882352941
0x000b5192c6, Normal, 11, 81, 146, 198, 206.66666666666669, 0.5064935064935066, 0.5470588235294118
0x000b51b99e, Normal, 11, 81, 185, 158, 164.42307692307693, 0.42622950819672123, 0.5215686274509803
0x000b5293e8, Normal, 11, 82, 147, 232, 214, 0.7653061224489796, 0.615686274509804
0x000b5325f2, Normal, 11, 83, 37, 242, 253.46341463414635, 0.8874458874458873, 0.5470588235294117
0x000b5656c4, Normal, 11, 86, 86, 196, 240, 0.48245614035087725, 0.5529411764705883
